"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-08-20,7000753.34100345,125176.272029953,5435.79365590648,31518.6659245377,1823.36229455422,1048.56509159941,7001495.2606265,125113.046685277,5150.64821464379,31127.5687974511,1823.18114488892,1046.29453124277,7001127.5299237,125144.425164839,5291.82407367555,31321.5284043991,1823.27107810324,1047.4213552829
2020-08-21,6998041.4886308,127774.020171656,5431.14345691331,31565.4278950341,1882.33346633019,1061.58637926478,6998956.20935171,127674.39770485,5121.91674663537,31063.3884772973,1881.99251487248,1058.09520463079,6998503.14567585,127723.820912476,5274.83722943167,31312.2073670255,1882.16173672447,1059.82707849667
2020-08-22,6995326.89982611,130375.729854076,5430.45812688135,31607.2311555502,1942.00602336836,1073.67501401607,6996423.62445408,130230.555919521,5099.37711803056,30992.3016027898,1941.42993340284,1068.7109721734,6995880.80059092,130302.54712237,5262.90780643942,31296.8563330418,1941.71577319682,1071.1723740359
2020-08-23,6992609.91855998,132981.052078501,5431.91389705167,31645.890520407,2002.32963459627,1084.89530946622,6993897.93771697,132781.050087136,5080.26345870869,30917.0968417551,2001.42941849286,1078.22247693228,6993260.89186406,132880.185618817,5253.74192183197,31277.7751151802,2001.87593396386,1081.52954614864
2020-08-24,6989890.77057598,135589.751293037,5434.4945424462,31682.4154563019,2063.25754815658,1095.31058407415,6991379.40796474,135325.58332851,5063.02979653744,30839.3370448931,2061.93151467106,1086.71035064863,6990643.67042926,135456.461995537,5246.05955598807,31256.2486052177,2062.58900885896,1090.97040513688
2020-08-25,6987169.61586136,138201.655809983,5437.6337164735,31717.366798443,2124.74647827198,1104.9813354639,6988868.19703788,137863.957569511,5046.81225953612,30759.8996258388,2122.88120119869,1094.25230603634,6988029.30546504,138031.183097888,5239.14654973681,31232.99525622,2123.80572920156,1099.56390191686
2020-08-26,6984446.57786459,140816.630120454,5441.01570785354,31751.0554763854,2186.75642083732,1113.9644098815,6986364.41226138,140396.031207533,5031.12837853664,30679.2787172982,2184.22768475297,1100.92175050033,6985417.92038228,140604.202057103,5232.60457457501,31208.4173930841,2185.48057254895,1107.37502041393
2020-08-27,6981721.75976344,143434.559413431,5444.46444609178,31783.6532270351,2249.25043929646,1122.312710701,6983868.1301842,142921.695362631,5015.70895478449,30597.7541271824,2245.92414034024,1106.78723086551,6982809.61290131,143175.398708353,5226.2115876032,31182.7409214886,2247.57152673672,1114.46435450585
2020-08-28,6978995.25352147,146055.340899079,5447.88166683257,31815.2542763198,2312.19444313387,1130.07519316034,6981379.4098499,145440.860527045,5000.40404765316,30515.4858156715,2307.9274350376,1111.91232469407,6980204.46625172,145744.668600906,5219.84394738659,31156.0933073459,2310.03984164806,1120.88805099099
2020-08-29,6976267.14492804,148678.878927516,5451.21246305542,31845.9097050772,2375.55697066756,1137.29700563953,6978898.30021541,147953.449035152,4985.13040569086,30432.5667260766,2370.19785294135,1116.35576472563,6977602.55541903,148311.916809195,5213.43294336654,31128.547102556,2372.8497837257,1126.69794212325
2020-08-30,6973537.51640157,151305.082226369,5454.42609272146,31875.6465966548,2439.30898196194,1144.01970072166,6976424.84429862,150459.390793498,4969.84207078449,30349.0523279421,2432.69883070953,1120.17167844118,6975003.95062781,150877.054428363,5206.94053231762,31100.1442402598,2435.96840081786,1131.94177043574
2020-08-31,6970806.44854689,153933.862322698,5457.50528591201,31904.4787057887,2503.42366446709,1150.28147424764,6973959.08149737,152958.620838774,4954.51393994967,30264.9771377488,2495.39670813228,1123.40987802093,6972408.71928267,153439.996572578,5200.34579501441,31070.9095962011,2499.36530087121,1136.66345266883
2020-09-01,6968074.02101871,156565.132628313,5460.44028723474,31932.4124035056,2567.87625225387,1156.11740997731,6971501.04888629,155451.077922456,4939.13257277489,30180.3639573701,2558.26049546021,1126.11616564925,6969816.92704893,156000.66121615,5193.63737643019,31040.8585585898,2563.01244576712,1140.9033541369
2020-09-02,6965340.31299863,159198.807897985,5463.22553643219,31959.4499899554,2632.64385879398,1161.55971820557,6969050.7819422,157936.703673676,4923.69105059987,30095.2290401275,2621.26165777098,1128.33263562378,6967228.63845311,158558.968508745,5186.80926575932,31010.0012535052,2626.88396041488,1144.69855847005
2020-09-03,6962605.40345671,161834.803898379,5465.8578188761,31985.5915406767,2697.70532276564,1166.63796259581,6966608.31495017,160415.442089195,4908.186101462,30009.5849794088,2684.37391590022,1130.09796386825,6964643.9172156,161114.840358575,5179.85844067611,30978.3449033667,2690.95595660543,1148.08312518185
2020-09-04,6959869.37129328,164473.037197131,5468.33523503712,32010.8359356798,2763.041066145,1171.37927272592,6964173.68123096,162887.239209725,4892.61649211461,29923.4423236291,2747.57306309254,1131.4476804807,6962062.82643386,163668.200168239,5172.78355220838,30945.895143221,2755.20637083504,1151.08833163826
2020-09-05,6957132.29541383,167113.42502138,5470.65662627439,32035.1814331694,2828.63296375723,1175.80854158651,6961746.9132688,165352.042903611,4876.98212864068,29836.810478883,2810.8367963695,1132.4144236906,6959485.42868229,166218.972658559,5165.58419049609,30912.6567552311,2819.61481518576,1153.74289824002
2020-09-06,6954394.25476668,169755.885157276,5472.82125488558,32058.6259895145,2894.46422344762,1179.94860819046,6959328.04278338,167809.80271342,4861.28355335088,29749.6982132215,2874.14456156577,1133.02817506397,6956911.78606557,168767.083744113,5158.26047481625,30878.6340783625,2884.16244032059,1156.07319682022
2020-09-07,6951655.32835994,172400.335874445,5474.82862583334,32081.1674378053,2960.51927605642,1183.82042591768,6956917.10077067,170260.469740345,4845.52166331113,29662.1139381241,2937.47741099955,1133.31647655375,6954341.96024613,171312.460439966,5150.81282462673,30843.8312367371,2948.83180967007,1158.10344286768
2020-09-08,6948915.59526685,175046.695866281,5476.6783874166,32102.8035875933,3026.78367442294,1187.44321743356,6954514.1175265,172703.996552167,4829.69755282429,29574.0658653603,3000.81787278855,1133.30463036054,6951776.01245722,173855.030787968,5143.24183166478,30808.2522667425,3013.6067839308,1159.85587247685
2020-09-09,6946175.13462474,177694.88420084,5478.37027593177,32123.5322806987,3093.24400069401,1190.83461709889,6952119.1226604,175140.3371066,4813.81242523968,29485.5620941577,3064.14983088128,1133.01588272188,6949214.00350789,176394.723795946,5135.54818846102,30771.9011876125,3078.47241505018,1161.35090504085
2020-09-10,6943434.02563031,180344.82027926,5479.90408484603,32143.3514225232,3159.88778126357,1194.01080179639,6949732.14510408,177569.446685261,4797.86754353954,29396.6106593945,3127.45841493817,1132.47159278717,6946655.99378366,178931.469385899,5127.73264834891,30734.7820404394,3143.41484892965,1162.60729272626
2020-09-11,6940692.347533,182996.423799879,5481.27964762867,32162.2589996998,3226.70340872124,1196.98661106859,6947353.21311697,179991.28183544,4781.86420261532,29307.2195579959,3190.72989926048,1131.69138771253,6944102.04324464,181465.198348867,5119.7960030576,30696.8989095552,3208.42123613631,1163.64225774256
2020-09-12,6937950.17962714,185649.614726895,5482.49682819201,32180.2530901179,3293.68007023641,1199.77565741416,6944982.35429018,182405.800317915,4765.80371367709,29217.3967631438,3253.9516100276,1130.69330505775,6941552.21142244,183995.842305042,5111.73907012129,30658.2559340647,3273.47964996766,1164.47161836827
2020-09-13,6935207.60124353,188304.313262822,5483.5555155712,32197.3318686874,3360.80768185018,1202.39042753419,6942619.59554949,184812.96105972,4749.68739545076,29127.150231676,3317.11184016166,1129.4939235009,6939006.55741627,186523.333668186,5103.56268576885,30618.8573138719,3338.57901126688,1165.10990463563
2020-09-14,6932464.69174066,190960.439824209,5484.45562096447,32213.4936107161,3428.07682819009,1204.8423752629,6940264.96315805,187212.724111086,4733.51656917347,29036.4879076807,3380.19977119336,1128.10848281571,6936465.13988882,189047.605613734,5095.26770087282,30578.7073126285,3403.70901943409,1165.57046451137
2020-09-15,6929721.5304957,193617.915020246,5485.19707608692,32228.7366939465,3495.47870716229,1207.14200686119,6937918.48271874,189605.050606032,4717.29255571456,28945.4177239693,3443.20540155356,1126.55099398598,6933928.01706187,191568.592050093,5086.85497860607,30537.8102589585,3468.86008912463,1165.86556134832
2020-09-16,6926978.19689545,196276.659633951,5485.77983225438,32243.0595998334,3563.00507921177,1209.29895929822,6935580.17917654,191989.902726184,4701.01667388704,28853.9476023673,3506.11948076241,1124.83434026336,6931395.24671194,194086.227592808,5078.32539305152,30496.1705467145,3534.02329216649,1166.00646332174
2020-09-17,6924234.77032718,198936.594605689,5486.20385987221,32256.4609143873,3630.64822077531,1211.32207209594,6933250.0768208,194367.243667483,4684.69023942609,28762.0854533511,3568.93344903076,1122.97036991097,6928866.88616591,196600.447541287,5069.67982834353,30453.7926346889,3599.19030426777,1166.00352550763
2020-09-18,6921491.33016943,201597.64101881,5486.46914814779,32268.939328764,3698.40088158217,1213.21945326525,6930928.19928767,196737.037609524,4668.31456434196,28669.8391753244,3631.63938182854,1120.96998131514,6926342.99229671,199111.187857846,5060.91917810577,30410.6810460172,3664.35335611983,1165.86626520698
2020-09-19,6918747.95578284,204259.720087225,5486.57570492561,32280.4936397019,3766.25624548617,1214.99853981912,6928614.56956246,199099.249687254,4651.89095648364,28577.2166536996,3694.22993901148,1118.84320109238,6923823.62151908,201618.38514886,5052.04434505416,30366.8403674037,3729.50518853458,1165.60343107091
2020-09-20,6916004.72650096,206922.753144744,5486.52355658876,32291.1227498626,3834.20789453872,1216.66615330857,6926309.20998216,201453.845964848,4635.42071922155,28484.225759876,3756.69831813073,1116.59925576748,6921308.82978541,204121.976647836,5043.05624069164,30322.2752482445,3794.63901128381,1165.22306653622
2020-09-21,6913261.72162103,209586.661636044,5486.31274799538,32300.8256681054,3902.24977603617,1218.22855079063,6924012.14223795,203800.793411548,4618.90515119827,28390.8743501674,3819.03821158136,1114.24663755125,6918798.67258166,206621.900200223,5033.9557850539,30276.9903996887,3859.74846533579,1164.73256803931
2020-09-22,6910519.02039484,212251.367109108,5485.94334243262,32309.601509715,3970.37617229683,1219.69147160388,6921723.38737789,206140.059879308,4602.34554611835,28297.1702647071,3881.24376727358,1111.79316470338,6916293.20492338,209118.094249826,5024.74390648316,30230.9905936622,3924.82758820953,1164.13873843773
2020-09-23,6907776.70201956,214916.791209037,5485.41542157831,32317.4494965895,4038.58167294327,1221.06018029657,6919442.96580955,208471.61408208,4585.74319256145,28203.121326348,3943.30955253664,1109.24603692571,6913792.48135182,211610.497826671,5015.42154141732,30184.2806618656,3989.87078219011,1163.44783603368
2020-09-24,6905034.84562853,217582.855673098,5484.72908546497,32324.3689573972,4106.86114948353,1222.33950602342,6917170.89730284,210795.425576603,4569.09937380971,28108.735339565,4005.23052098934,1106.61188619493,6911296.55593014,214099.050536186,5005.98963418742,30136.865494755,4054.87278516937,1162.66561956115
2020-09-25,6902293.53028223,220249.48232692,5483.88445244316,32330.3593277012,4175.20973200251,1223.5338787018,6914907.20099285,213111.464744557,4552.41536768436,28014.020089367,4067.00198213294,1103.89682340973,6908805.4822397,216583.692549605,4996.44913681955,30088.7500405093,4119.8286438959,1161.79738946869
2020-09-26,6899552.83495908,222916.593081738,5482.88165914241,32335.4201500581,4243.62278778964,1224.64736219361,6912651.89538277,215419.702775979,4535.69244638883,27918.9833402202,4128.6195734421,1101.10648119695,6906319.31337647,219064.364595464,4986.80100883889,30039.9393039876,4184.73368943594,1160.84802580265
